Country,Life expectancy at birth(29),Obesity rate (%) (23),GDP(in USD)(1),Intentional Homicide Rate(4),Democracy index(7),Military expenditures(%GDP)(5),Human developement index(6),Tertiary education(>2years)(8),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Importance of Religion(9),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median download speed(Mbit/s)(2),Median ages in years combined,Pure Alcohol consumption(Litres)(3),Oil production April 2022(27)
Serbia,75.9,21.5,,1.1,6.22,,0.802,,,1.48,54%,-0.34,63.9,1898.6,84.7,,43.4,11.1,14170.0
Brazil,75.9,22.1,,22.4,6.92,1.1,0.754,16.0,82.4,1.64,87%,0.63,51.9,333.5,77.1,,35.2,7.8,3021505.0
Bahrain,75.8,29.8,26563,0.1,2.49,,0.875,,70.7,1.81,94%,4.26,66.4,1101.5,97.8,,32.9,1.9,188469.0
Paraguay,75.8,20.3,,7.8,6.18,,0.717,,70.3,2.47,92%,1.25,61.8,384.5,62.1,,29.7,7.2,
Libya,75.8,32.5,,,1.95,,0.718,,28.6,2.46,,1.33,,327.2,20.6,,25.8,0.0,1057890.0
Romania,75.6,22.5,,1.3,6.4,1.7,0.821,,54.5,1.8,84%,-0.5,68.6,1204.3,64.9,178.9,42.5,12.6,61281.0
Latvia,75.4,23.6,21267,3.0,7.24,,0.863,40.0,45.7,1.57,39%,-1.03,70.4,1189.1,84.6,128.69,44.4,12.9,
Bulgaria,75.1,25.0,,1.3,6.71,,0.795,,69.4,1.58,,-0.67,69.0,1757.3,65.2,,43.7,12.7,1000.0
Nicaragua,75.0,23.7,,11.0,3.6,,0.667,,14.9,2.32,84%,1.07,57.7,327.8,25.3,,27.3,5.2,
El Salvador,75.0,24.6,,18.2,5.9,,0.675,,21.4,1.8,83%,0.52,61.8,206.7,31.6,,27.7,3.7,
North Macedonia,74.8,22.4,,1.1,5.89,,0.77,,35.4,1.6,76%,0.08,71.1,2784.9,75.6,,39.0,,
Belarus,74.8,24.5,,2.3,2.59,,0.808,,58.6,1.48,34%,-0.15,57.9,2911.3,73.6,,40.9,11.2,31756.0
Malaysia,74.7,15.6,,0.7,7.19,,0.803,,50.9,1.8,96%,1.35,74.0,441.2,75.5,,29.2,0.9,502082.0
Belize,74.4,24.1,,31.2,,,0.683,,74.7,2.01,,2.05,55.4,168.6,44.1,,23.9,6.7,1106.0
Brunei,74.3,14.1,31449,0.5,,,0.829,,,1.78,,1.25,65.1,9.7,91.3,,31.1,0.4,83759.0
Saint Lucia,74.3,19.7,,39.0,,,0.715,,124.1,1.4,,0.45,68.7,553.9,50.6,,36.9,9.9,
Bangladesh,74.3,3.6,,2.3,5.99,,0.661,,3.1,1.98,99%,1.04,55.6,744.1,75.9,,27.9,0.0,3000.0
Saudi Arabia,74.3,35.4,23186,0.8,2.08,7.4,0.875,26.0,44.6,2.43,93%,1.9,60.7,1341.0,96.9,,30.8,0.2,10644394.0
Kyrgyzstan,74.2,16.6,,,4.21,,0.692,,39.0,2.89,72%,1.44,62.3,519.6,35.4,,27.3,6.2,658.0
Mauritius,74.1,10.8,,2.6,8.14,,0.802,,39.6,1.41,,0.23,73.0,542.5,54.1,,36.3,3.6,
Kazakhstan,74.0,21.0,,3.2,3.14,,0.811,,44.8,3.32,43%,1.13,65.4,1800.9,72.5,,31.6,7.7,1726514.0
Cape Verde,74.0,11.8,,6.2,7.65,,0.662,,26.3,1.9,,1.25,63.1,397.1,53.1,,26.8,5.7,
Oman,73.9,27.0,,0.2,3.0,5.2,0.816,,49.8,2.62,,4.08,61.0,271.1,82.2,,26.2,0.8,1063251.0
Venezuela,73.9,25.6,,19.3,2.76,,0.691,,56.6,2.21,79%,1.26,25.9,396.2,72.9,,30.0,5.6,703658.0
Vietnam,73.7,2.1,,1.5,2.94,,0.703,,28.6,1.94,30%,1.0,55.3,1049.6,69.9,,31.9,8.3,179249.0
Georgia,73.3,21.7,,2.0,5.31,,0.802,,26.0,2.08,81%,-0.27,75.9,1917.7,91.7,,38.6,9.8,276.0
