,Country/Territory,"GDP (in US$) per capita by country, United Nations, estimate","Fixed broadband, Average download speed (Mbit/s) (Ookla)","Recorded per capita consumption of pure alcohol (litres) per adult 15 years of age and over per year, 2016",intentional homicide rate,% of GDP,HDI 2021 data (2022 report),Democracy index: 2020,"('Ages 25–34:\xa0% equivalent to a degree course lasting at least:', '2 years')",% Yes for importance of religion,% Christian,Muslim percentage of total population,% Buddhist,% Jewish,"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsability reduced,Minimum wage annual in US$,External Debt by % of GDP,World Bank Gini %,Total health spending per capita in PPP international dollars. Not inflation-adjusted,"Suicide rates by gender and country (age-standardized, per 100,000 population, World Health Organization, 2019)[",Fertility rate in 2019 (births/woman),"Annual Cigarette Consumption per person aged 15 or older, 2016","Obesity rates by country (The World Factbook – Central Intelligence Agency, 2016)",% of Internet users,Median age in year 2020 combined M and F,"2019 Economic Freedom of the World Index, score",Oil production April 2022 (bbl/day)[1],population growth rate UN 2015-2020,"List by the World Health Organization (2019), Life expectancy at birth, All","meat consumption per capita, kg/person 2002","Incarceration rates per 100,000 from World  Prison Brief",literacy rate UN member states elderly 65+,age at first marriage Women,Expenditure on education (% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr) [1],Scientific publications per capita (per million),Total books published per year,Average daily dietary energy consumption kilocalories,Average yearly temperature (1961–1990 Celsius)
36,Bulgaria,12207.0,78.84,12.7,1.3,,0.795,6.71,,,,13.4,0.0,,6.1,14.0,5950.0,63.0,40.5,,6.5,1.6,1757.3,25.0,65.2397925722654,43.7,69.0,1000.0,-0.67,71.51,69.4,93.0,97.5,29.1,4.1,,155.71,956.0,,2854.0,10.55
37,Burkina Faso,893.0,,8.2,,,0.449,3.73,,,,63.8,0.0,,85.0,13.0,750.0,26.0,43.0,,14.4,5.1,408.1,5.6,13.791017227838614,17.9,59.4,,2.87,59.27,11.2,38.0,8.4,17.9,4.2,335.0,29.79,30.0,12.0,2737.0,28.29
38,Burundi,311.0,,7.5,5.8,,0.426,2.14,,98.0,,10.0,,,54.4,15.0,,26.0,38.6,,12.1,5.3,239.4,5.4,4.838663800861319,17.7,48.9,,3.15,61.66,3.5,85.0,24.9,20.3,4.8,,4.6,9.0,,,19.8
39,C-te d'Ivoire,,,,,,,,,,,,0.0,,,,792.0,,,,,,,,38.76090503437828,,62.4,30298.0,,,11.3,,,,5.1,117.0,,,,,
41,Cambodia,1608.0,,6.7,1.8,,0.593,3.1,,96.0,,2.0,97.9,,25.7,14.0,,57.0,36.0,,5.5,2.5,726.2,3.9,32.803782356561925,26.4,57.8,,1.49,69.58,13.9,219.0,53.1,21.0,1.9,,3.47,34.0,,2492.0,26.8
42,Cameroon,1668.0,,8.9,4.5,,0.576,2.77,,96.0,,30.0,0.0,,72.2,10.0,785.0,24.0,46.6,,15.9,4.5,171.0,11.4,20.517450365511085,18.5,52.4,59743.0,2.56,60.33,14.4,116.0,26.1,19.0,3.1,389.0,15.27,86.0,,2733.0,24.6
43,Canada,52112.0,181.99,8.9,2.1,1.2,0.936,9.24,59.0,42.0,,4.9,0.8,,5.0,12.0,24128.0,126.94,31.7,5337.0,10.3,1.5,1021.3,29.4,88.98079235304657,41.8,77.7,4543800.0,0.9,81.63,108.1,85.0,,29.6,5.5,10.0,187.77,3184.0,10433.0,3566.0,-5.1
44,Cape Verde,3293.0,,5.7,6.2,,0.662,7.65,,,,2.0,,,14.2,16.0,1673.0,99.0,42.4,,15.2,2.2,397.1,11.8,,26.8,,,1.25,,26.3,296.0,36.8,21.5,5.2,,115.64,119.0,,2541.0,23.3
46,Cayman Islands,85250.0,,,4.5,,,,,,,0.2,,,,,,7.0,,,,,,,73.24468709639544,40.5,,,,,,266.0,94.7,,,,,410.0,,,
47,Central African Republic,461.0,,3.3,,,0.404,1.32,,,,15.0,,,103.0,14.0,821.0,39.0,43.0,,23.0,4.6,213.2,7.5,3.705301334725023,20.0,49.1,,1.58,53.9,28.0,40.0,35.7,17.3,1.2,1421.0,13.53,12.0,,1786.0,24.9
50,Chad,955.0,,1.5,,,0.394,1.55,,95.0,,58.0,0.0,,110.0,13.0,1298.0,18.0,37.5,,13.2,5.6,279.3,6.1,5.637454350298666,16.1,49.9,81329.0,3.01,52.52,14.3,59.0,7.0,18.8,2.9,209.0,20.63,4.0,,2115.0,26.55
52,Chile,16265.0,246.39,9.3,3.6,1.8,0.855,8.28,36.0,70.0,,0.0,0.0,,6.8,14.0,6483.0,65.09,44.9,2281.0,8.0,1.6,769.3,28.0,76.25463341442834,35.5,75.4,2000.0,0.78,78.94,66.4,264.0,89.9,32.6,5.4,7.4,116.11,871.0,7058.0,3029.0,8.45
53,China,12437.0,172.95,7.2,0.5,1.6,0.768,2.27,35.8,,,,18.2,,7.3,12.0,2642.0,13.55,37.1,,6.7,1.7,2043.0,6.2,76.38298559703406,38.4,58.4,4089997.0,0.39,78.21,52.4,119.0,73.9,24.9,4.0,19.0,32.66,527.0,208418.0,3206.0,7.5
56,Colombia,6104.0,53.73,5.8,27.5,3.1,0.752,7.04,27.0,83.0,,0.2,0.0,,13.2,14.0,4516.0,56.03,51.5,1192.0,3.7,1.8,351.4,22.3,59.297924422829304,31.2,67.3,751876.0,0.81,72.83,33.9,196.0,81.4,22.7,4.5,971.0,108.47,296.0,17066.0,3114.0,24.5
57,Comoros,1631.0,,0.9,,,0.558,3.09,,97.0,,98.3,,,61.3,,1587.0,21.0,45.3,,8.5,4.1,585.4,7.8,8.400425985090521,20.9,55.4,,2.24,63.42,7.6,43.0,12.8,20.4,2.5,,11.15,24.0,,,25.3
58,Rep Congo,2200.0,,7.8,,,0.571,3.11,,,,2.0,0.0,,44.6,,1948.0,55.0,48.9,,11.6,4.4,195.2,9.6,7.797637549980243,19.5,39.7,272928.0,2.59,63.52,13.3,27.0,73.1,21.0,4.6,,10.69,68.0,,2285.0,24.55
59,DR Congo,551.0,,2.6,,,0.479,1.13,,94.0,,10.0,0.0,,81.2,14.0,220.0,13.0,42.1,,12.4,5.8,128.0,6.7,7.311717492411788,16.7,50.3,21000.0,3.22,59.19,4.8,24.0,48.0,19.0,1.5,595.0,,5.0,64.0,,24.0
61,Cook Islands,19264.0,,10.6,3.5,,,,,,,0.0,,,,,,23.0,,,,,,55.9,,38.3,,,,,,224.0,,,,,,521.0,,,
62,Costa Rica,12472.0,47.93,4.8,11.4,,0.809,8.16,28.0,79.0,,0.0,0.0,,7.9,12.0,6785.0,43.0,47.2,1530.0,7.6,1.7,411.4,25.7,68.13306746641464,32.6,65.3,,0.96,77.02,40.4,301.0,90.4,25.7,7.4,6.6,183.28,279.0,2158.0,3029.0,24.8
64,Croatia,16983.0,57.3,8.9,0.8,,0.858,6.5,,70.0,,1.5,0.0,,4.6,14.0,7075.0,74.0,29.5,,11.0,1.4,1578.9,24.4,69.23553034566584,43.9,61.4,10977.0,-0.58,76.42,49.9,102.0,97.1,28.9,4.6,5.1,231.02,2010.0,,3074.0,10.9
