Country or area,Subregion,Region,Internet users,Pct,Population .mw-parser-output .nobold{font-weight:normal}(2021)[10][11],Sources,Year
Somalia,Eastern Africa,Africa,294851,,17065581,[182] [failed verification],2021.0
Guyana,South America,Americas,290375,,804567,[183] [failed verification],2021.0
Suriname,South America,Americas,275785,,612985,[184] [failed verification],2021.0
Maldives,Southern Asia,Asia,275717,,521457,[185] [failed verification],2021.0
Barbados,Caribbean,Americas,233604,,281200,[186] [failed verification],2021.0
New Caledonia,Melanesia,Oceania,226557,,287800,[187] [failed verification],2021.0
French Polynesia,Polynesia,Oceania,205746,,304032,[188] [failed verification],2021.0
Central African Republic,Middle Africa,Africa,202204,,5457154,[189] [failed verification],2021.0
Belize,Central America,Americas,176400,,400031,[190] [failed verification],2021.0
Guam,Micronesia,Oceania,132221,,170534,[191] [failed verification],2021.0
Aruba (Netherlands),Caribbean,Americas,102285,,106537,[192] [failed verification],2021.0
Saint Lucia,Caribbean,Americas,90889,,179651,[193] [failed verification],2021.0
Antigua and Barbuda,Caribbean,Americas,77529,,93219,[194] [failed verification],2021.0
Andorra,Southern Europe,Europe,76095,,79034,[195] [failed verification],2021.0
Guinea-Bissau,Western Africa,Africa,73148,,2060721,[196] [failed verification],2021.0
Solomon Islands,Melanesia,Oceania,72872,,707851,[197] [failed verification],2021.0
Saint Vincent and the Grenadines,Caribbean,Americas,72048,,104332,[198] [failed verification],2021.0
Vanuatu,Melanesia,Oceania,71050,,319137,[199] [failed verification],2021.0
Comoros,Eastern Africa,Africa,69020,,821625,[200] [failed verification],2021.0
U.S. Virgin Islands,Caribbean,Americas,67535,,100091,[201] [failed verification],2021.0
Eritrea,Eastern Africa,Africa,66402,,3620312,[202] [failed verification],2021.0
Samoa,Polynesia,Oceania,66023,,218764,[203] [failed verification],2021.0
Grenada,Caribbean,Americas,63692,,124610,[204] [failed verification],2021.0
São Tomé and Príncipe,Middle Africa,Africa,61155,,223107,[205] [failed verification],2021.0
Bermuda,Northern America,Americas,60349,,64185,[206] [failed verification],2021.0
Seychelles,Eastern Africa,Africa,55677,,106471,[207] [failed verification],2021.0
Dominica,Caribbean,Americas,51467,,72412,[208] [failed verification],2021.0
Cayman Islands,Caribbean,Americas,49906,,68136,[209] [failed verification],2021.0
Faroe Islands,Northern Europe,Europe,48097,,52889,[210] [failed verification],2021.0
Saint Kitts and Nevis,Caribbean,Americas,44669,,47606,[211] [failed verification],2021.0
Tonga,Polynesia,Oceania,44558,,106017,[212] [failed verification],2021.0
Greenland,Northern America,Americas,39242,,56243,[213] [failed verification],2021.0
