Location [Note 1],1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,To CIA estimates
Pakistan *,250.03,203.79,171.64,150.01,136.71,127.31,118.96,109.96,101.04,91.75,82.92,75.64,68.1,61.33,<-
South Sudan *,248.1,225.34,209.13,193.47,180.94,168.71,165.56,149.64,129.76,113.78,101.32,78.57,65.81,64.36,<-
Cameroon *,154.96,148.85,141.18,133.43,123.45,112.4,103.88,99.82,102.91,105.85,92.17,80.45,70.66,61.18,<-
Nigeria *,200.29,185.98,172.57,159.28,147.07,134.06,125.18,125.88,125.86,118.5,103.96,89.33,74.97,62.14,<-
DR Congo *,166.33,157.45,151.02,143.35,133.6,129.04,121.4,115.94,109.65,112.82,99.47,83.83,73.15,64.92,<-
Angola *,192.8,187.54,180.65,172.0,162.33,154.58,148.74,145.39,145.06,142.14,128.76,104.21,78.25,61.46,<-
Equatorial Guinea *,167.05,162.79,158.25,153.59,148.56,143.43,130.94,124.63,116.01,105.7,95.42,84.63,73.79,66.13,<-
Mali *,241.92,223.57,206.89,191.5,176.25,162.69,150.64,138.98,126.95,121.16,106.53,89.06,78.47,65.8,<-
Somalia *,199.81,185.66,172.91,160.35,147.25,136.58,127.62,123.09,129.41,105.01,96.96,89.76,79.44,69.31,<-
Chad *,186.05,176.51,168.5,159.37,146.1,137.63,130.02,123.17,119.04,114.13,108.34,97.53,84.06,74.5,<-
Central African Republic *,169.91,164.19,158.11,149.81,136.9,122.55,112.92,111.0,111.03,109.79,105.11,99.65,90.29,81.9,<-
Sierra Leone *,237.16,225.27,216.34,203.79,190.25,179.68,171.05,165.76,162.8,157.07,141.88,122.09,97.13,80.77,<-
World,139.57,127.72,120.35,104.13,93.99,84.9,75.28,66.87,62.91,56.87,49.22,40.98,33.91,29.26,
