Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,7.1,6.0,5.7,5.2,4.5,3.9,3.8,3.6,3.4,3.3,3.2,3.0,2.9,2.7,2.6,2.5,2.5,2.4,2.4,2.3
East Timor,3.3,3.5,3.2,3.2,2.8,2.8,2.4,2.3,2.1,2.8,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.4,2.4
Togo,8.6,8.8,9.0,9.1,9.2,9.1,9.4,9.2,8.9,8.6,8.5,8.5,8.3,8.1,7.9,7.7,7.2,6.7,6.5,6.5
Tonga,3.6,3.6,3.4,3.4,3.3,3.2,3.2,3.2,3.2,3.2,3.5,3.4,3.4,3.4,3.5,3.4,3.2,3.2,3.1,2.9
Trinidad and Tobago,6.3,6.4,5.3,4.9,4.5,4.6,4.2,3.7,4.6,4.0,4.5,3.9,4.7,4.5,4.3,4.3,4.2,4.1,3.8,3.7
Tunisia,2.6,2.6,2.6,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.8,1.8
Turkey,1.9,1.8,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.2
Turkmenistan,4.6,5.0,5.5,5.1,5.6,5.7,5.9,5.3,4.8,4.3,4.0,4.0,3.7,3.9,3.5,3.4,3.2,3.0,2.9,2.9
Uganda,8.6,8.3,8.0,7.8,7.9,8.3,8.1,6.7,5.8,5.7,5.3,5.2,4.3,3.9,3.8,3.9,4.0,3.6,3.5,3.7
Ukraine *,8.5,7.8,7.6,7.3,7.0,7.0,6.5,6.5,6.5,5.7,5.5,5.1,5.1,5.2,5.3,4.9,4.7,4.5,4.6,4.7
United Arab Emirates,4.7,4.6,4.2,4.0,3.8,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3.0,3.0,2.8,2.7,2.6,2.6,2.6,2.6
United Kingdom *,3.6,3.2,3.4,3.3,3.5,3.4,3.1,2.9,3.2,3.1,3.2,3.4,3.1,3.2,3.5,3.7,3.5,3.5,3.4,3.4
Tanzania,8.1,7.4,6.7,6.2,5.7,5.3,5.3,5.6,6.2,5.8,5.2,5.3,4.5,4.2,4.0,3.9,4.0,3.9,3.7,3.7
United States *,4.0,4.1,4.3,4.4,4.7,4.6,4.7,4.9,5.0,5.0,5.2,5.4,5.4,5.5,5.8,6.1,6.3,6.5,6.6,6.8
Uruguay *,5.1,5.9,7.4,6.6,5.8,6.0,6.9,7.2,5.6,5.3,6.4,6.5,6.3,6.2,7.0,6.7,8.3,7.5,7.4,7.7
Uzbekistan,4.8,4.9,4.9,4.7,4.5,4.6,4.5,4.4,4.3,4.2,4.3,4.6,5.1,5.1,5.2,5.4,5.5,5.3,5.2,4.9
Vanuatu,10.1,9.9,9.9,9.7,9.3,8.9,9.5,9.3,9.1,9.7,9.5,9.2,9.3,9.3,8.9,9.0,8.8,8.8,8.9,9.0
Venezuela,1.7,1.8,1.9,1.8,1.6,1.5,1.3,1.3,1.1,1.1,1.1,0.9,1.0,0.8,0.7,0.8,0.8,0.8,0.7,0.7
Vietnam,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.2,4.2,4.2
Yemen,6.5,6.5,6.2,6.1,6.2,6.0,5.9,5.8,5.9,5.8,5.5,5.4,5.5,5.4,5.2,5.0,5.1,5.1,5.3,5.3
Zambia,14.5,13.4,12.6,11.4,11.9,11.4,11.0,9.2,8.2,8.4,9.2,9.2,8.7,8.5,7.9,7.1,6.7,6.6,6.0,5.3
Zimbabwe,14.2,13.0,13.5,13.7,15.7,15.2,18.2,21.8,25.5,26.9,23.9,21.8,20.9,21.3,21.1,19.2,17.7,15.0,13.5,13.5
