Countries and territories,2019,2019.1,2019.2,2019.3,2021,2021.1,2021.2,2021.3,2019 →2021
Countries and territories,All,Male,Female,Gender gap,All,Male,Female,Gender gap,2019 →2021
,,,,,,,,,
Micronesia,67.9,66.2,69.6,3.4,70.7,67.1,74.6,7.5,2.8
El Salvador,73.3,68.5,77.8,9.3,70.7,66.1,75.1,9.0,−2.6
Venezuela,72.1,68.3,76.0,7.7,70.6,66.3,75.2,8.9,−1.5
Jamaica,74.5,72.9,76.1,3.2,70.5,68.5,72.5,4.0,−4.0
Belize,74.6,71.7,77.8,6.1,70.5,67.1,74.3,7.2,−4.1
Vanuatu,70.5,69.0,72.2,3.2,70.4,68.4,72.9,4.5,−0.1
Iraq,70.6,68.6,72.7,4.1,70.4,68.2,72.4,4.2,−0.2
Solomon Islands,73.0,71.3,74.9,3.6,70.3,68.9,72.0,3.1,−2.7
Paraguay,74.3,72.3,76.4,4.1,70.3,67.4,73.4,6.0,−4.0
Suriname,71.7,68.5,75.1,6.6,70.3,67.2,73.6,6.4,−1.4
Egypt,72.0,69.7,74.4,4.7,70.2,67.9,72.6,4.7,−1.8
Mexico,75.1,72.2,77.9,5.7,70.2,66.1,74.9,8.8,−4.9
Honduras,75.3,73.0,77.6,4.6,70.1,67.9,72.5,4.6,−5.2
Kyrgyzstan,71.5,67.4,75.6,8.2,70.0,65.8,74.4,8.6,−1.5
Saint Vincent and the Grenadines,72.5,70.3,75.1,4.8,69.6,67.4,72.4,5.0,−2.9
Cambodia,69.8,67.5,71.9,4.4,69.6,66.8,72.3,5.5,−0.2
Azerbaijan,73.0,70.5,75.5,5.0,69.4,65.6,73.3,7.7,−3.6
Kazakhstan,73.6,69.2,77.7,8.5,69.4,65.5,73.1,7.6,−4.2
Russia,72.6,67.1,77.8,10.7,69.4,64.2,74.8,10.6,−3.2
Philippines,71.2,67.3,75.5,8.2,69.3,67.2,71.5,4.3,−1.9
Turkmenistan,68.2,64.7,71.7,7.0,69.3,65.9,72.7,6.8,1.1
Guatemala,74.3,71.4,77.2,5.8,69.2,66.0,72.7,6.7,−5.1
Moldova,71.9,67.6,76.2,8.6,68.8,64.4,73.5,9.1,−3.1
Nepal,70.8,69.3,72.2,2.9,68.4,66.6,70.4,3.8,−2.4
Laos,67.9,66.1,69.7,3.6,68.1,66.2,70.1,3.9,0.2
Timor-Leste,69.5,67.5,71.6,4.1,67.7,66.1,69.5,3.4,−1.8
Indonesia,71.7,69.6,74.0,4.4,67.6,65.5,69.7,4.2,−4.1
Sao Tome and Principe,70.4,68.0,72.8,4.8,67.6,65.2,70.4,5.2,−2.8
Kiribati,68.4,64.2,72.3,8.1,67.4,65.5,69.1,3.6,−1.0
India,69.7,68.5,71.0,2.5,67.2,65.8,68.9,3.1,−2.5
Fiji,67.4,65.7,69.3,3.6,67.1,65.4,68.9,3.5,−0.3
Senegal,67.9,65.8,69.9,4.1,67.1,64.8,69.3,4.5,−0.8
Eritrea,66.3,64.2,68.6,4.4,66.5,64.3,68.7,4.4,0.2
Tanzania,65.5,63.6,67.2,3.6,66.2,64.2,68.3,4.1,0.7
Pakistan,67.3,66.3,68.3,2.0,66.1,63.8,68.6,4.8,−1.2
Rwanda,69.0,66.8,71.1,4.3,66.1,63.8,68.2,4.4,−2.9
Gabon,66.5,64.4,68.7,4.3,65.8,63.5,68.5,5.0,−0.7
Guyana,69.9,66.9,73.1,6.2,65.7,62.5,69.1,6.6,−4.2
Myanmar,67.1,64.0,70.1,6.1,65.7,62.5,69.0,6.5,−1.4
Papua New Guinea,64.5,63.3,65.8,2.5,65.4,62.9,68.4,5.5,0.9
Marshall Islands,74.1,—,—,—,65.3,63.7,67.2,3.5,−8.8
Sudan,65.3,63.5,67.2,3.7,65.3,62.7,67.9,5.2,0.0
Ethiopia,66.6,64.7,68.5,3.8,65.0,61.9,68.3,6.4,−1.6
Madagascar,67.0,65.4,68.7,3.3,64.5,62.2,66.9,4.7,−2.5
Mauritania,64.9,63.3,66.5,3.2,64.4,62.7,66.1,3.4,−0.5
Ghana,64.1,63.0,65.2,2.2,63.8,61.6,66.0,4.4,−0.3
Yemen,66.1,64.4,67.8,3.4,63.8,60.6,67.1,6.5,−2.3
Bolivia,71.5,68.7,74.5,5.8,63.6,60.9,66.8,5.9,−7.9
