Country (or territory),CIA[2][3],CIA[2][3].1,WB[4] 2009,UN[5] 2005–10,UN[5] 2010–15,UN[5] 2015–20
,.mw-parser-output .nobold{font-weight:normal}(%),Year,,,,
,,,,,,
Poland *,-0.28,2023,0.02,-0.02,-0.03,-0.17
Portugal *,-0.17,2023,-0.29,0.16,-0.44,-0.39
Qatar *,0.86,2023,7.05,14.93,6.65,2.36
Romania *,-1.01,2023,-0.27,-0.95,-0.56,-0.5
Russia *,-0.24,2023,0.4,-0.07,0.04,0.01
Rwanda *,1.68,2023,2.77,2.61,2.53,2.36
Saint Kitts and Nevis *,0.59,2023,1.15,1.13,1.08,0.91
Saint Lucia *,0.27,2023,0.89,1.06,0.53,0.45
Saint Vincent and the Grenadines *,-0.16,2023,0.01,0.1,0.03,0.24
Samoa *,0.65,2023,0.78,0.69,0.8,0.65
San Marino *,0.59,2023,0.64,1.24,1.16,0.51
São Tomé and Príncipe *,1.45,2023,2.65,2.32,2.25,2.18
Saudi Arabia *,1.65,2023,1.88,2.75,2.81,1.9
Senegal *,2.52,2023,2.92,2.76,2.96,2.77
Serbia *,-0.63,2023,-0.48,-0.41,-0.4,-0.34
Seychelles *,0.60,2023,0.39,0.59,0.5,0.5
Sierra Leone *,2.41,2023,1.91,2.65,2.28,2.12
Singapore *,0.90,2023,2.45,2.44,1.74,1.4
Slovakia *,-0.12,2023,0.22,0.02,0.13,0.04
Slovenia *,-0.08,2023,0.26,0.48,0.29,0.07
Solomon Islands *,1.69,2023,2.13,2.32,2.14,1.94
Somalia *,2.49,2023,2.86,2.93,2.86,2.93
South Africa *,0.91,2023,1.18,1.1,1.39,1.2
South Sudan *,4.78,2023,4.3,4.33,3.32,2.72
Spain *,0.12,2023,0.09,1.21,-0.17,0.03
Sri Lanka *,0.59,2023,1.04,0.68,0.5,0.35
Sudan *,2.55,2023,2.08,2.13,2.34,2.38
Suriname *,1.11,2023,0.9,1.06,1.01,0.87
Sweden *,0.51,2023,0.71,0.76,0.78,0.72
Switzerland *,0.64,2023,1.07,1.11,1.21,0.83
Syria *,6.39,2023,1.97,2.78,-2.3,0.2
Taiwan *,0.03,2023,,0.44,0.33,0.28
Tajikistan *,1.36,2023,2.45,2.18,2.24,2.06
Tanzania *,2.75,2023,3.04,3.14,3.12,3.06
Thailand *,0.20,2023,0.31,0.54,0.43,0.22
East Timor *,2.10,2023,2.88,1.56,2.24,2.14
Togo *,2.45,2023,2.6,2.7,2.63,2.45
Tonga *,-0.30,2023,0.37,0.6,0.42,0.86
Trinidad and Tobago *,0.12,2023,0.33,0.48,0.48,0.26
Tunisia *,0.63,2023,0.97,1.04,1.16,1.09
Turkey *,0.64,2023,1.28,1.26,1.58,1.37
Turkmenistan *,0.95,2023,1.29,1.35,1.8,1.61
Tuvalu *,0.81,2023,0.16,0.99,0.87,0.88
Uganda *,3.22,2023,3.35,3.45,3.37,3.23
Ukraine *,-0.52,2023,-0.25,-0.48,-0.5,-0.49
United Arab Emirates *,0.58,2023,3.1,11.82,2.03,1.39
